AccX,AccY,AccZ,Dist
-0.0,0.02,1.06,27.0
-0.01,0.02,1.07,27.0
-0.01,0.01,1.07,27.0
-0.01,0.02,1.06,27.0
-0.01,0.02,1.06,29.0
-0.01,0.01,1.06,29.0
-0.01,0.02,1.07,25.0
-0.02,0.01,1.07,28.0
-0.02,0.02,1.07,27.0
-0.01,0.02,1.06,28.0
-0.01,0.02,1.07,25.0
-0.01,0.02,1.06,25.0
-0.01,0.02,1.07,27.0
-0.01,0.02,1.07,25.0
-0.01,0.01,1.07,30.0
-0.01,0.02,1.07,26.0
-0.02,0.02,1.06,25.0
-0.01,0.03,1.06,23.0
-0.01,0.02,1.05,26.0
-0.01,0.02,1.06,22.0
-0.02,0.03,1.07,26.0
-0.01,0.02,1.06,29.0
-0.01,0.02,1.06,27.0
-0.01,0.02,1.07,28.0
-0.01,0.02,1.07,25.0
-0.01,0.02,1.06,25.0
-0.01,0.02,1.06,23.0
-0.01,0.01,1.06,23.0
-0.01,0.02,1.06,24.0
-0.01,0.02,1.06,23.0
-0.01,0.02,1.05,25.0
-0.01,0.03,1.06,26.0
-0.01,0.01,1.08,26.0
-0.01,0.02,1.06,25.0
-0.01,0.03,1.07,24.0
0.0,0.02,1.06,23.0
-0.01,0.02,1.06,23.0
-0.02,0.01,1.07,27.0
-0.01,0.02,1.06,23.0
-0.0,0.03,1.06,23.0
-0.01,0.02,1.06,29.0
-0.01,0.02,1.06,25.0
-0.01,0.02,1.06,24.0
-0.01,0.02,1.06,25.0
-0.01,0.02,1.07,27.0
-0.01,0.02,1.07,26.0
-0.01,0.02,1.07,26.0
-0.01,0.02,1.07,24.0
-0.01,0.02,1.06,26.0
-0.01,0.02,1.06,28.0
-0.01,0.02,1.07,22.0
-0.0,0.02,1.06,31.0
-0.01,0.03,1.06,28.0
-0.01,0.01,1.07,25.0
-0.01,0.02,1.06,24.0
-0.01,0.02,1.08,18.0
-0.01,0.02,1.07,20.0
-0.01,0.01,1.07,19.0
-0.0,0.01,1.07,19.0
-0.0,0.01,1.06,17.0
-0.01,0.02,1.06,17.0
-0.01,0.02,1.07,16.0
-0.01,0.02,1.06,15.0
-0.01,0.01,1.08,15.0
-0.01,0.02,1.07,15.0
-0.01,0.02,1.07,20.0
-0.01,0.02,1.06,19.0
-0.01,0.02,1.12,19.0
-0.01,0.02,1.07,20.0
-0.01,0.01,1.06,20.0
-0.01,0.02,1.07,23.0
-0.01,0.02,1.06,19.0
-0.01,0.0,1.06,27.0
-0.01,0.01,1.06,23.0
-0.01,0.01,1.06,25.0
-0.01,0.02,1.05,21.0
-0.02,0.02,1.06,23.0
-0.01,0.02,1.07,23.0
-0.01,0.03,1.12,27.0
-0.01,0.02,1.06,24.0
-0.01,0.01,1.06,26.0
-0.01,0.01,1.07,27.0
-0.01,0.03,1.06,28.0
-0.0,0.02,1.06,32.0
-0.01,0.01,1.07,31.0
-0.0,0.03,1.06,31.0
-0.01,0.01,1.06,27.0
-0.01,0.01,1.07,28.0
-0.01,0.02,1.06,31.0
-0.0,0.02,1.06,31.0
-0.01,0.02,1.07,31.0
-0.01,0.02,1.07,34.0
-0.01,0.01,1.07,34.0
-0.01,0.02,1.07,32.0
-0.01,0.02,1.07,33.0
-0.01,0.02,1.06,33.0
-0.02,0.01,1.06,37.0
-0.01,0.02,1.06,35.0
-0.01,0.02,1.06,39.0
-0.01,0.02,1.07,39.0
-0.02,0.01,1.07,38.0
-0.01,0.01,1.07,39.0
-0.02,0.01,1.07,43.0
-0.01,0.02,1.06,41.0
-0.01,0.03,1.07,43.0
-0.02,0.02,1.08,44.0
-0.01,0.01,1.06,44.0
-0.01,0.02,1.07,45.0
-0.01,0.02,1.12,45.0
-0.02,0.02,1.07,47.0
-0.01,0.02,1.06,49.0
0.0,0.01,1.07,49.0
-0.02,0.02,1.01,49.0
-0.01,0.02,1.06,53.0
-0.01,0.02,1.06,58.0
-0.02,0.02,1.06,52.0
-0.01,0.02,1.06,55.0
-0.01,0.02,1.07,58.0
-0.01,0.02,1.07,61.0
-0.0,0.02,1.07,60.0
-0.01,0.01,1.07,61.0
-0.0,0.01,1.06,61.0
-0.01,0.02,1.07,63.0
-0.01,0.02,1.07,68.0
-0.01,0.03,1.06,65.0
-0.02,0.01,1.07,64.0
-0.01,0.01,1.06,70.0
-0.01,0.03,1.07,67.0
-0.01,0.02,1.07,70.0
-0.0,0.02,1.07,71.0
-0.01,0.02,1.08,73.0
-0.01,0.01,1.06,73.0
