AccX,AccY,AccZ,Dist,Time
-0.15,-0.01,1.06,276.0,0.016161203384399414
-0.15,-0.0,1.06,277.0,0.05384993553161621
-0.15,-0.01,1.06,278.0,0.11914730072021484
-0.15,-0.0,1.06,279.0,0.17763590812683105
-0.15,-0.0,1.01,281.0,0.2411818504333496
-0.15,-0.01,1.06,283.0,0.3040199279785156
-0.16,0.0,1.07,285.0,0.36850833892822266
-0.16,-0.01,1.06,280.0,0.43097686767578125
-0.16,-0.01,1.06,280.0,0.494992733001709
-0.15,0.0,1.06,278.0,0.5575900077819824
-0.15,-0.01,1.06,279.0,0.6215412616729736
-0.15,0.0,1.06,280.0,0.685154914855957
-0.15,-0.01,1.06,279.0,0.747748851776123
-0.15,0.0,1.06,279.0,0.8105905055999756
-0.16,-0.01,1.06,282.0,0.8747780323028564
-0.15,0.0,1.05,278.0,0.9383316040039062
-0.14,-0.0,1.06,279.0,1.0009171962738037
-0.15,-0.01,1.05,279.0,1.0643644332885742
-0.15,-0.0,1.06,281.0,1.1274118423461914
-0.16,-0.0,1.06,282.0,1.1910061836242676
-0.15,0.0,1.06,278.0,1.2572581768035889
-0.16,0.0,1.06,280.0,1.3179473876953125
-0.15,-0.01,1.06,281.0,1.3809504508972168
-0.15,-0.0,1.06,282.0,1.4443418979644775
-0.16,-0.01,1.06,279.0,1.507516622543335
-0.15,-0.01,1.07,281.0,1.5716159343719482
-0.15,-0.01,1.06,280.0,1.634408950805664
-0.16,0.01,1.06,282.0,1.697094202041626
-0.14,0.0,1.06,279.0,1.760664463043213
-0.15,-0.01,1.06,278.0,1.824068307876587
-0.16,-0.01,1.06,279.0,1.8887014389038086
-0.15,-0.01,1.06,283.0,1.950598955154419
-0.15,-0.01,1.05,281.0,2.014254093170166
-0.15,-0.01,1.06,281.0,2.0776195526123047
-0.16,-0.0,1.06,277.0,2.1410133838653564
-0.16,-0.01,1.06,281.0,2.2040491104125977
-0.16,-0.0,1.07,285.0,2.267385482788086
-0.15,-0.01,1.05,279.0,2.330232620239258
-0.15,0.0,1.05,280.0,2.3944180011749268
-0.15,-0.0,1.07,280.0,2.4574711322784424
-0.16,-0.01,1.06,277.0,2.520195722579956
0.12,0.08,1.06,31.0,13.735498905181885
0.13,0.08,1.05,30.0,13.798343420028687
0.12,0.08,1.05,31.0,13.862158060073853
0.12,0.09,1.06,32.0,13.924992561340332
0.13,0.09,1.05,31.0,13.988385438919067
0.18,0.08,1.05,30.0,14.051058053970337
0.12,0.08,1.0,27.0,14.11521601676941
0.13,0.08,1.05,31.0,14.177170276641846
0.12,0.07,1.06,28.0,14.240411281585693
0.12,0.09,1.07,29.0,14.303785562515259
0.13,0.07,1.03,30.0,14.367127656936646
0.12,0.08,1.05,31.0,14.431015253067017
0.13,0.08,1.05,31.0,14.492643356323242
0.11,0.08,1.06,32.0,14.55587363243103
0.12,0.09,1.06,29.0,14.618980884552002
0.13,0.08,1.07,28.0,14.682220458984375
0.15,0.1,1.09,30.0,14.748450517654419
0.12,0.09,1.05,31.0,14.808276176452637
0.13,0.08,1.05,30.0,14.871583461761475
0.12,0.09,1.06,28.0,14.934315919876099
0.13,0.08,1.06,28.0,14.997802019119263
0.14,0.08,1.0,27.0,15.06062388420105
0.11,0.08,1.05,33.0,15.123509407043457
0.12,0.08,1.05,27.0,15.186036825180054
0.11,0.09,1.06,29.0,15.250006437301636
0.12,0.08,1.07,29.0,15.313177585601807
0.12,0.08,1.07,30.0,15.376255989074707
0.12,0.07,1.05,30.0,15.438474655151367
0.12,0.08,1.07,31.0,15.501920700073242
0.12,0.08,1.07,28.0,15.565650701522827
0.13,0.08,1.05,31.0,15.629541873931885
0.12,0.08,1.06,33.0,15.691123723983765
0.1,0.09,1.11,29.0,15.754786252975464
0.14,0.09,1.11,30.0,15.818641901016235
0.13,0.08,1.07,29.0,15.881078958511353
0.12,0.08,1.06,32.0,15.944076776504517
0.11,0.08,1.06,27.0,16.006749629974365
0.13,0.09,1.05,30.0,16.070422887802124
