AccX,AccY,AccZ,Dist,Time
-0.04,0.04,1.06,153,0.014873981475830078
-0.05,0.04,1.07,153,0.052091599
-0.04,0.03,1.07,153,0.11481094360351562
-0.05,0.04,1.06,158,0.1789107322692871
-0.04,0.04,1.07,153,0.2414703369140625
-0.05,0.03,1.07,154,0.30529141426086426
-0.05,0.04,1.06,155,0.3685305118560791
-0.05,0.03,1.07,150,0.43201184272766113
-0.05,0.04,1.07,153,0.4955930709838867
-0.05,0.03,1.06,156,0.5584225654602051
-0.05,0.03,1.07,154,0.6215484142303467
-0.05,0.03,1.05,154,0.6844046115875244
-0.05,0.03,1.07,151,0.7481722831726074
-0.05,0.03,1.08,153,0.8111367225646973
-0.05,0.03,1.06,150,0.8751294612884521
-0.05,0.03,1.07,152,0.9376893043518066
-0.05,0.02,1.06,157,1.001596212387085
-0.05,0.03,1.06,150,1.0647938251495361
-0.05,0.03,1.08,153,1.1284704208374023
-0.04,0.03,1.07,152,1.191920518875122
-0.04,0.03,1.07,151,1.2561910152435303
-0.05,0.03,1.07,151,1.3246922492980957
-0.03,0.03,1.06,154,1.381403923034668
-0.05,0.02,1.07,156,1.4481549263000488
-0.05,0.04,1.06,154,1.5079514980316162
-0.05,0.03,1.07,153,1.589463710784912
-0.04,0.04,1.06,155,1.6351289749145508
-0.05,0.04,1.07,151,1.6976721286773682
-0.04,0.03,1.06,155,1.761678695678711
-0.05,0.03,1.02,151,1.8247885704040527
-0.05,0.03,1.07,155,1.8886449337005615
-0.05,0.03,1.07,152,1.9515817165374756
-0.05,0.03,1.06,151,2.0147929191589355
-0.05,0.03,1.06,150,2.077465772628784
-0.05,0.03,1.07,155,2.141070604324341
-0.05,0.04,1.07,154,2.2044646739959717
-0.05,0.03,1.07,152,2.2689263820648193
-0.04,0.03,1.07,152,2.3312151432037354
-0.05,0.03,1.07,155,2.3948118686676025
-0.04,0.03,1.06,153,2.4572246074676514
-0.05,0.04,1.07,153,2.521653890609741
-0.05,0.03,1.08,151,2.5839905738830566
-0.05,0.03,1.03,154,2.648308038711548
-0.05,0.03,1.04,155,2.7111833095550537
-0.05,0.03,1.05,155,2.774754762649536
-0.04,0.03,1.06,152,2.836843490600586
-0.05,0.03,1.12,155,2.901480197906494
-0.05,0.03,1.06,155,2.9644391536712646
-0.04,0.03,1.08,153,3.027797222137451
-0.05,0.03,1.04,156,3.0910675525665283
-0.05,0.03,1.13,159,3.154425859451294
-0.05,0.03,1.24,161,3.2174458503723145
-0.05,0.03,0.92,170,3.281198740005493
-0.05,0.03,0.93,169,3.3443527221679688
-0.05,0.03,1.31,163,3.407240629196167
-0.05,0.03,1.15,159,3.4706051349639893
-0.05,0.04,1.15,164,3.5342729091644287
-0.05,0.04,1.59,164,3.5971484184265137
-0.07,0.03,0.85,171,3.660417079925537
-0.04,0.04,1.22,175,3.724123716
-0.06,0.03,0.92,177,3.7873380184173584
-0.06,0.03,1.04,175,3.8508219718933105
-0.06,0.03,1.36,179,3.913599967956543
-0.05,0.03,0.67,187,3.9774134159088135
-0.05,0.03,1.2,185,4.041167736053467
-0.06,0.03,1.07,185,4.103954315185547
-0.06,0.04,1.33,186,4.168205499649048
-0.08,0.03,1.13,198,4.2311317920684814
-0.06,0.03,1.05,207,4.294416904449463
-0.07,0.03,0.9,208,4.357496738433838
-0.07,0.03,0.98,204,4.420748710632324
-0.07,0.04,1.53,208,4.4840028285980225
-0.07,0.02,0.92,216,4.547200441360474
-0.07,0.04,1.21,216,4.610921621322632
-0.07,0.04,1.53,210,4.674311637878418
-0.07,0.02,0.9,209,4.7373292446136475
-0.06,0.03,1.12,212,4.800380229949951
-0.07,0.02,1.09,212,4.863733530044556
-0.07,0.03,1.1,209,4.927532434463501
-0.01,0.03,1.03,211,4.9907591342926025
-0.07,0.02,1.03,208,5.053154945373535
-0.07,0.03,1.08,208,5.117598772
-0.06,0.03,1.07,213,5.180752515792847
-0.07,0.02,1.06,207,5.243471384048462
-0.06,0.03,1.08,211,5.307154655456543
-0.07,0.03,1.06,211,5.370832681655884
