Timestamp,VTarget,MotorPWM,Encoder
"0, 11000, 70, 0"
"100, 11000, 70, 0"
"200, 11000, 70, 0"
"300, 11000, 70, 0"
"400, 11000, 70, 0"
"500, 11000, 70, 0"
"600, 11000, 70, 0"
"700, 11000, 70, 0"
"800, 11000, 70, 0"
"900, 11000, 70, 0"
"1000, 11000, 70, 0"
"1100, 11000, 70, 0"
"1200, 11000, 70, 0"
"1300, 11000, 70, 0"
"1400, 11000, 70, 0"
"1500, 11000, 70, 0"
"1600, 11000, 70, 0"
"1700, 11000, 70, 0"
"1800, 11000, 70, 0"
"1900, 11000, 70, 0"
"2000, 11000, 70, 0"
"2100, 11000, 70, 486"
"2200, 11000, 70, 2613"
"2300, 11000, 70, 4807"
"2400, 11000, 70, 6932"
"2500, 11000, 70, 8984"
"2600, 11000, 0, 11213"
"2700, 11000, 0, 10856"
"2800, 11000, 0, 10697"
"2900, 11000, 0, 10697"
"3000, 11000, 0, 10697"
"3100, 11000, 0, 10697"
"3200, 11000, 0, 10697"
"3300, 11000, 0, 10697"
"3400, 11000, 0, 10697"
"3500, 11000, 0, 10697"
"3600, 11000, 0, 10697"
"3700, 11000, 0, 10697"
"3800, 11000, 0, 10697"
"3900, 11000, 0, 10697"
"4000, 11000, 0, 10697"
"4100, 11000, 0, 10697"
"4200, 11000, 0, 10697"
"4300, 11000, 0, 10697"
"4400, 11000, 0, 10697"
"4500, 11000, 0, 10697"
"4600, 11000, 0, 10697"
"4700, 11000, 0, 10697"
"4800, 11000, 0, 10697"
"4900, 11000, 0, 10697"
"5000, 11000, 0, 10697"
"5100, 11000, 0, 10697"
"5200, 11000, 0, 10697"
"5300, 11000, 0, 10697"
"5400, 11000, 0, 10697"
"5500, 11000, 0, 10697"
"5600, 11000, 0, 10697"
"5700, 11000, 0, 10697"
"5800, 11000, 0, 10697"
"5900, 11000, 0, 10697"
"6000, 11000, 0, 10697"
"6100, 11000, 0, 10697"
"6200, 11000, 0, 10697"
"6300, 11000, 0, 10697"
"6400, 11000, 0, 10697"
"6500, 11000, 0, 10697"
"6600, 11000, 30, 10692"
"6700, 11000, 30, 10059"
"6800, 11000, 30, 9235"
"6900, 11000, 30, 8450"
"7000, 11000, 30, 7666"
"7100, 11000, 30, 6867"
"7200, 11000, 30, 6114"
"7300, 11000, 30, 5335"
"7400, 11000, 30, 4579"
"7500, 11000, 30, 3826"
"7600, 11000, 30, 3088"
"7700, 11000, 30, 2389"
"7800, 11000, 30, 1660"
"7900, 11000, 30, 920"
"8000, 11000, 30, 201"
"8100, 11000, 0, -38"
"8200, 11000, 0, -39"
"8300, 11000, 0, -39"
"8400, 11000, 0, -39"
"8500, 11000, 0, -39"
"8600, 11000, 0, -39"
"8700, 11000, 0, -39"
"8800, 11000, 0, -39"
"8900, 11000, 0, -39"
"9000, 11000, 0, -39"
"9100, 11000, 0, -39"
"9200, 11000, 0, -39"
"9300, 11000, 0, -39"
"9400, 11000, 0, -39"
"9500, 11000, 0, -39"
"9600, 11000, 0, -39"
"9700, 11000, 0, -39"
"9800, 11000, 0, -39"
"9900, 11000, 70, 683"
"10000, 11000, 70, 2772"
"10100, 11000, 70, 4883"
"10200, 11000, 30, 5961"
"10300, 11000, 30, 5250"
"10400, 11000, 30, 4468"
"10500, 11000, 30, 3726"
"10600, 11000, 30, 2978"
"10700, 11000, 30, 2233"
